,x_spot,y_spot,new_x_spot,new_y_spot,pixel_x_spot,pixel_y_spot,selected,sp_loc,pixel_x_meta,pixel_y_meta,label,sp_loc_decimals_meta
10x13,10,13,9.852,12.991,1923.65,2622.15,1,10x13,1106.5,2768.60273529412,invasive cancer,9.852x12.991
10x14,10,14,9.866,14.007,1926.69,2844.32,1,10x14,1108.25,2640.79591176471,invasive cancer,9.866x14.007
10x15,10,15,9.876,14.992,1928.87,3059.72,1,10x15,1109.5,2516.88870588235,invasive cancer,9.876x14.992
10x16,10,16,9.868,15.996,1927.13,3279.27,1,10x16,1108.5,2390.59141176471,invasive cancer,9.868x15.996
10x17,10,17,9.841,16.999,1921.26,3498.6,1,10x17,1105.125,2264.41991176471,invasive cancer,9.841x16.999
10x18,10,18,9.883,17.996,1930.39,3716.63,1,10x18,1110.375,2139.00317647059,invasive cancer,9.883x17.996
10x19,10,19,9.869,19.049,1927.34,3946.89,1,10x19,1108.625,2006.54197058824,invasive cancer,9.869x19.049
10x20,10,20,9.871,20.02,1927.78,4159.23,1,10x20,1108.875,1884.39588235294,invasive cancer,9.871x20.02
10x21,10,21,9.882,20.98,1930.17,4369.16,1,10x21,1110.25,1763.63352941176,invasive cancer,9.882x20.98
10x22,10,22,9.871,22.068,1927.78,4607.08,1,10x22,1108.875,1626.76952941176,invasive cancer,9.871x22.068
10x23,10,23,9.917,22.969,1937.78,4804.1,1,10x23,1114.625,1513.42902941176,invasive cancer,9.917x22.969
10x24,10,24,9.883,23.93,1930.39,5014.25,1,10x24,1110.375,1392.54088235294,invasive cancer,9.883x23.93
10x25,10,25,9.871,24.929,1927.78,5232.71,1,10x25,1108.875,1266.87255882353,invasive cancer,9.871x24.929
10x26,10,26,9.914,25.969,1937.12,5460.13,1,10x26,1114.25,1136.04667647059,invasive cancer,9.914x25.969
10x27,10,27,9.862,27.024,1925.82,5690.84,1,10x27,1107.75,1003.33388235294,adipose tissue,9.862x27.024
10x28,10,28,9.902,27.919,1934.52,5886.55,1,10x28,1112.75,890.748147058823,adipose tissue,9.902x27.919
11x13,11,13,10.886,12.944,2148.35,2611.87,1,11x13,1235.75,2774.51505882353,invasive cancer,10.886x12.944
11x14,11,14,10.867,14.004,2144.22,2843.67,1,11x14,1233.375,2641.17329411765,invasive cancer,10.867x14.004
11x15,11,15,10.892,14.973,2149.66,3055.57,1,11x15,1236.5,2519.27879411765,invasive cancer,10.892x14.973
11x16,11,16,10.862,15.996,2143.14,3279.27,1,11x16,1232.75,2390.59141176471,invasive cancer,10.862x15.996
11x17,11,17,10.876,16.98,2146.18,3494.45,1,11x17,1234.5,2266.81,invasive cancer,10.876x16.98
11x18,11,18,10.872,17.985,2145.31,3714.22,1,11x18,1234.0,2140.38691176471,invasive cancer,10.872x17.985
11x19,11,19,10.881,18.992,2147.26,3934.43,1,11x19,1235.125,2013.71223529412,invasive cancer,10.881x18.992
11x20,11,20,10.83,19.985,2136.18,4151.57,1,11x20,1228.75,1888.79867647059,invasive cancer,10.83x19.985
11x21,11,21,10.869,20.963,2144.66,4365.44,1,11x21,1233.625,1765.77202941176,invasive cancer,10.869x20.963
11x22,11,22,10.907,22.056,2152.91,4604.45,1,11x22,1238.375,1628.27905882353,invasive cancer,10.907x22.056
11x23,11,23,10.874,22.941,2145.74,4797.98,1,11x23,1234.25,1516.95126470588,invasive cancer,10.874x22.941
11x24,11,24,10.892,23.905,2149.66,5008.78,1,11x24,1236.5,1395.68573529412,invasive cancer,10.892x23.905
11x25,11,25,10.949,24.902,2162.04,5226.81,1,11x25,1243.625,1270.269,invasive cancer,10.949x24.902
