,x_spot,y_spot,new_x_spot,new_y_spot,pixel_x_spot,pixel_y_spot,selected,sp_loc,pixel_x_meta,pixel_y_meta,label,sp_loc_decimals_meta
10x16,10,16,9.796,15.956,2543.14,4368.91,1,10x16,1099.5,2405.14517647059,connective tissue,9.796x15.956
10x17,10,17,9.814,16.943,2548.35,4657.23,1,10x17,1101.75,2280.49288235294,connective tissue,9.814x16.943
10x18,10,18,9.809,17.957,2546.9,4953.44,1,10x18,1101.125,2152.43064705882,connective tissue,9.809x17.957
10x19,10,19,9.814,18.951,2548.35,5243.8,1,10x19,1101.75,2026.89429411765,undetermined,9.814x18.951
10x20,10,20,9.79,19.966,2541.41,5540.3,1,10x20,1098.75,1898.70576470588,invasive cancer,9.79x19.966
10x21,10,21,9.803,20.942,2545.17,5825.41,1,10x21,1100.375,1775.44270588235,invasive cancer,9.803x20.942
10x22,10,22,9.802,21.945,2544.88,6118.4,1,10x22,1100.25,1648.76970588235,invasive cancer,9.802x21.945
11x15,11,15,10.835,14.941,2843.54,4072.41,1,11x15,1229.375,2533.33370588235,connective tissue,10.835x14.941
11x16,11,16,10.843,15.926,2845.86,4360.15,1,11x16,1230.375,2408.934,connective tissue,10.843x15.926
11x17,11,17,10.84,16.915,2844.99,4649.05,1,11x17,1230.0,2284.02911764706,connective tissue,10.84x16.915
11x18,11,18,10.832,17.936,2842.68,4947.3,1,11x18,1229.0,2155.08282352941,connective tissue,10.832x17.936
11x19,11,19,10.806,18.931,2835.16,5237.96,1,11x19,1225.75,2029.42017647059,undetermined,10.806x18.931
11x20,11,20,10.772,19.94,2825.33,5532.71,1,11x20,1221.5,1901.98941176471,invasive cancer,10.772x19.94
11x21,11,21,10.8,20.919,2833.43,5818.69,1,11x21,1225.0,1778.34747058824,invasive cancer,10.8x20.919
11x22,11,22,10.838,21.903,2844.41,6106.14,1,11x22,1229.75,1654.07405882353,invasive cancer,10.838x21.903
12x14,12,14,11.963,14.081,3169.68,3821.19,1,12x14,1370.375,2641.94664705882,connective tissue,11.963x14.081
12x15,12,15,12.012,15.036,3183.84,4100.16,1,12x15,1376.5,2521.33576470588,connective tissue,12.012x15.036
12x16,12,16,11.97,16.071,3171.7,4402.51,1,12x16,1371.25,2390.62135294118,connective tissue,11.97x16.071
12x17,12,17,12.012,17.058,3183.84,4690.83,1,12x17,1376.5,2265.96905882353,connective tissue,12.012x17.058
12x18,12,18,11.958,18.088,3168.23,4991.71,1,12x18,1369.75,2135.88611764706,connective tissue,11.958x18.088
12x19,12,19,11.997,19.073,3179.51,5279.44,1,12x19,1374.625,2011.48641176471,invasive cancer,11.997x19.073
12x20,12,20,11.987,20.053,3176.62,5565.72,1,12x20,1373.375,1887.71817647059,invasive cancer,11.987x20.053
12x21,12,21,11.93,21.019,3160.14,5847.9,1,12x21,1366.25,1765.71805882353,invasive cancer,11.93x21.019
