,x_spot,y_spot,new_x_spot,new_y_spot,pixel_x_spot,pixel_y_spot,selected,sp_loc,pixel_x_meta,pixel_y_meta,label,sp_loc_decimals_meta
10x10,10,10,9.953,9.949,2594.97,2601.79,1,10x10,1119.125,3141.69011764706,connective tissue,9.953x9.949
10x11,10,11,9.919,10.975,2585.12,2900.08,1,10x11,1114.875,3013.01764705882,connective tissue,9.919x10.975
10x12,10,12,9.888,11.972,2576.13,3189.95,1,10x12,1111.0,2887.98211764706,connective tissue,9.888x11.972
10x13,10,13,9.947,12.991,2593.23,3486.21,1,10x13,1118.375,2760.18752941176,undetermined,9.947x12.991
10x14,10,14,9.907,14.034,2581.64,3789.44,1,10x14,1113.375,2629.38305882353,invasive cancer,9.907x14.034
10x15,10,15,9.936,14.971,2590.04,4061.86,1,10x15,1117.0,2511.87223529412,invasive cancer,9.936x14.971
10x16,10,16,9.935,16.015,2589.75,4365.39,1,10x16,1116.875,2380.94235294118,invasive cancer,9.935x16.015
10x17,10,17,9.901,17.001,2579.9,4652.06,1,10x17,1112.625,2257.28635294118,invasive cancer,9.901x17.001
10x18,10,18,9.929,18.004,2588.01,4943.66,1,10x18,1116.125,2131.49835294118,invasive cancer,9.929x18.004
10x19,10,19,9.946,19.104,2592.94,5263.47,1,10x19,1118.25,1993.54541176471,invasive cancer,9.946x19.104
10x20,10,20,9.948,20.057,2593.52,5540.54,1,10x20,1118.5,1874.028,invasive cancer,9.948x20.057
10x21,10,21,9.889,20.926,2576.42,5793.19,1,10x21,1111.125,1765.04517647059,invasive cancer,9.889x20.926
10x22,10,22,9.968,22.097,2599.32,6133.64,1,10x22,1121.0,1618.188,invasive cancer,9.968x22.097
10x23,10,23,9.966,23.014,2598.74,6400.25,1,10x23,1120.75,1503.18541176471,invasive cancer,9.966x23.014
10x24,10,24,9.999,23.956,2608.3,6674.12,1,10x24,1124.875,1385.04752941177,connective tissue,9.999x23.956
10x25,10,25,9.927,24.966,2587.44,6967.76,1,10x25,1115.875,1258.38164705882,connective tissue,9.927x24.966
10x26,10,26,9.945,25.978,2592.65,7261.99,1,10x26,1118.125,1131.46494117647,undetermined,9.945x25.978
10x27,10,27,9.969,27.047,2599.61,7572.78,1,10x27,1121.125,997.399764705882,undetermined,9.969x27.047
