,x_spot,y_spot,new_x_spot,new_y_spot,pixel_x_spot,pixel_y_spot,selected,sp_loc,pixel_x_meta,pixel_y_meta,label,sp_loc_decimals_meta
10x10,10,10,9.874,9.955,2585.11,2613.28,1,10x10,1109.25,3136.51794117647,undetermined,9.874x9.955
10x11,10,11,9.882,10.937,2587.44,2899.85,1,10x11,1110.25,3013.53688235294,connective tissue,9.882x10.937
10x12,10,12,9.887,11.945,2588.89,3194.01,1,10x12,1110.875,2887.29970588235,undetermined,9.887x11.945
10x13,10,13,9.872,12.946,2584.52,3486.12,1,10x13,1109.0,2761.93917647059,immune infiltrate,9.872x12.946
10x14,10,14,9.873,13.922,2584.82,3770.94,1,10x14,1109.125,2639.70952941176,undetermined,9.873x13.922
10x15,10,15,9.881,14.951,2587.15,4071.23,1,10x15,1110.125,2510.84241176471,invasive cancer,9.881x14.951
10x16,10,16,9.87,15.911,2583.94,4351.38,1,10x16,1108.75,2390.61652941176,invasive cancer,9.87x15.911
10x17,10,17,9.874,16.944,2585.11,4652.83,1,10x17,1109.25,2261.24847058824,invasive cancer,9.874x16.944
10x18,10,18,9.877,17.941,2585.98,4943.78,1,10x18,1109.625,2136.38888235294,immune infiltrate,9.877x17.941
10x19,10,19,9.889,18.914,2589.48,5227.73,1,10x19,1111.125,2014.53494117647,immune infiltrate,9.889x18.914
10x20,10,20,9.831,19.895,2572.58,5514.01,1,10x20,1103.875,1891.67911764706,immune infiltrate,9.831x19.895
10x21,10,21,9.877,20.937,2585.98,5818.09,1,10x21,1109.625,1761.18394117647,invasive cancer,9.877x20.937
10x22,10,22,9.879,21.925,2586.56,6106.41,1,10x22,1109.875,1637.45147058824,invasive cancer,9.879x21.925
10x23,10,23,9.867,22.892,2583.07,6388.6,1,10x23,1108.375,1516.34894117647,invasive cancer,9.867x22.892
10x24,10,24,9.889,23.916,2589.48,6687.43,1,10x24,1111.125,1388.108,invasive cancer,9.889x23.916
10x25,10,25,9.883,24.923,2587.73,6981.29,1,10x25,1110.375,1261.99605882353,invasive cancer,9.883x24.923
10x26,10,26,9.871,25.939,2584.23,7277.79,1,10x26,1108.875,1134.757,invasive cancer,9.871x25.939
10x27,10,27,9.875,26.923,2585.4,7564.94,1,10x27,1109.375,1011.52547058824,invasive cancer,9.875x26.923
10x3,10,3,9.872,3.033,2584.52,593.28,1,10x3,1109.0,4003.39664705882,undetermined,9.872x3.033
10x4,10,4,9.879,4.06,2586.56,892.98,1,10x4,1109.875,3874.78,immune infiltrate,9.879x4.06
10x5,10,5,9.874,5.05,2585.11,1181.89,1,10x5,1109.25,3750.79705882353,immune infiltrate,9.874x5.05
10x6,10,6,9.879,6.075,2586.56,1481.0,1,10x6,1109.875,3622.43088235294,invasive cancer,9.879x6.075
10x7,10,7,9.869,7.013,2583.65,1754.73,1,10x7,1108.625,3504.96017647059,immune infiltrate,9.869x7.013
10x8,10,8,9.875,7.989,2585.4,2039.55,1,10x8,1109.375,3382.73052941176,immune infiltrate,9.875x7.989
10x9,10,9,9.868,8.953,2583.36,2320.87,1,10x9,1108.5,3262.00370588235,undetermined,9.868x8.953
11x10,11,10,10.896,9.956,2882.83,2613.57,1,11x10,1237.0,3136.39270588235,invasive cancer,10.896x9.956
11x12,11,12,10.885,11.938,2879.62,3191.97,1,11x12,1235.625,2888.17635294118,immune infiltrate,10.885x11.938
11x13,11,13,10.894,12.919,2882.25,3478.24,1,11x13,1236.75,2765.32052941176,undetermined,10.894x12.919
11x14,11,14,10.884,13.901,2879.33,3764.82,1,11x14,1235.5,2642.33947058824,immune infiltrate,10.884x13.901
11x15,11,15,10.901,14.946,2884.29,4069.77,1,11x15,1237.625,2511.46858823529,immune infiltrate,10.901x14.946
11x16,11,16,10.817,15.941,2859.81,4360.14,1,11x16,1227.125,2386.85947058824,immune infiltrate,10.817x15.941
11x17,11,17,10.901,16.941,2884.29,4651.96,1,11x17,1237.625,2261.62417647059,immune infiltrate,10.901x16.941
11x18,11,18,10.878,17.944,2877.58,4944.66,1,11x18,1234.75,2136.01317647059,immune infiltrate,10.878x17.944
11x19,11,19,10.858,18.906,2871.76,5225.39,1,11x19,1232.25,2015.53682352941,immune infiltrate,10.858x18.906
11x20,11,20,10.861,19.93,2872.63,5524.22,1,11x20,1232.625,1887.29588235294,invasive cancer,10.861x19.93
11x21,11,21,10.897,20.924,2883.12,5814.29,1,11x21,1237.125,1762.812,invasive cancer,10.897x20.924
11x22,11,22,10.906,21.907,2885.74,6101.15,1,11x22,1238.25,1639.70570588235,invasive cancer,10.906x21.907
11x23,11,23,10.883,22.933,2879.04,6400.57,1,11x23,1235.375,1511.21429411765,invasive cancer,10.883x22.933
11x24,11,24,10.908,23.954,2886.32,6698.52,1,11x24,1238.5,1383.34905882353,invasive cancer,10.908x23.954
11x25,11,25,10.863,24.927,2873.22,6982.46,1,11x25,1232.875,1261.49511764706,invasive cancer,10.863x24.927
11x26,11,26,10.898,25.941,2883.41,7278.37,1,11x26,1237.25,1134.50652941176,invasive cancer,10.898x25.941
11x27,11,27,10.889,26.919,2880.79,7563.77,1,11x27,1236.125,1012.02641176471,invasive cancer,10.889x26.919
11x28,11,28,10.891,27.932,2881.37,7859.39,1,11x28,1236.375,885.16305882353,invasive cancer,10.891x27.932
11x3,11,3,10.892,3.034,2881.66,593.57,1,11x3,1236.5,4003.27141176471,immune infiltrate,10.892x3.034
11x4,11,4,10.9,4.08,2883.99,898.82,1,11x4,1237.5,3872.27529411765,immune infiltrate,10.9x4.08
11x5,11,5,10.895,5.041,2882.54,1179.26,1,11x5,1236.875,3751.92417647059,immune infiltrate,10.895x5.041
11x6,11,6,10.871,6.034,2875.55,1469.04,1,11x6,1233.875,3627.56552941176,invasive cancer,10.871x6.034
11x7,11,7,10.865,6.997,2873.8,1750.07,1,11x7,1233.125,3506.96394117647,immune infiltrate,10.865x6.997
11x8,11,8,10.892,7.978,2881.66,2036.34,1,11x8,1236.5,3384.10811764706,invasive cancer,10.892x7.978
11x9,11,9,10.873,8.963,2876.13,2323.79,1,11x9,1234.125,3260.75135294118,invasive cancer,10.873x8.963
12x10,12,10,12.015,10.012,3208.81,2629.91,1,12x10,1376.875,3129.37952941176,invasive cancer,12.015x10.012
12x11,12,11,12.027,11.003,3212.3,2919.11,1,12x11,1378.375,3005.27135294118,invasive cancer,12.027x11.003
12x12,12,12,12.017,11.971,3209.39,3201.6,1,12x12,1377.125,2884.04358823529,invasive cancer,12.017x11.971
12x13,12,13,12.023,12.979,3211.14,3495.75,1,12x13,1377.875,2757.80641176471,immune infiltrate,12.023x12.979
12x14,12,14,12.03,13.956,3213.18,3780.87,1,12x14,1378.75,2635.45152941176,undetermined,12.03x13.956
12x15,12,15,12.027,14.967,3212.3,4075.9,1,12x15,1378.375,2508.83864705882,immune infiltrate,12.027x14.967
12x16,12,16,12.029,15.998,3212.89,4376.77,1,12x16,1378.625,2379.72105882353,immune infiltrate,12.029x15.998
12x17,12,17,12.047,16.983,3218.13,4664.22,1,12x17,1380.875,2256.36429411765,immune infiltrate,12.047x16.983
12x18,12,18,12.008,17.963,3206.77,4950.2,1,12x18,1376.0,2133.63370588235,immune infiltrate,12.008x17.963
12x19,12,19,12.009,18.97,3207.06,5244.07,1,12x19,1376.125,2007.52176470588,invasive cancer,12.009x18.97
12x20,12,20,12.01,19.985,3207.35,5540.27,1,12x20,1376.25,1880.40794117647,invasive cancer,12.01x19.985
12x21,12,21,12.013,20.968,3208.22,5827.13,1,12x21,1376.625,1757.30164705882,invasive cancer,12.013x20.968
12x22,12,22,12.002,21.983,3205.02,6123.33,1,12x22,1375.25,1630.18782352941,invasive cancer,12.002x21.983
12x23,12,23,12.009,22.982,3207.06,6414.86,1,12x23,1376.125,1505.07776470588,invasive cancer,12.009x22.982
12x24,12,24,12.021,23.967,3210.56,6702.31,1,12x24,1377.625,1381.721,invasive cancer,12.021x23.967
12x25,12,25,12.03,24.963,3213.18,6992.97,1,12x25,1378.75,1256.98664705882,invasive cancer,12.03x24.963
