,x_spot,y_spot,new_x_spot,new_y_spot,pixel_x_spot,pixel_y_spot,selected,sp_loc,pixel_x_meta,pixel_y_meta,label,sp_loc_decimals_meta
10x10,10,10,9.902,9.961,2589.09,2597.37,1,10x10,1112.75,3119.56482352941,invasive cancer,9.902x9.961
10x11,10,11,9.898,10.927,2587.93,2877.37,1,10x11,1112.25,2999.21258823529,invasive cancer,9.898x10.927
10x12,10,12,9.905,11.932,2589.96,3168.67,1,10x12,1113.125,2874.00141176471,invasive cancer,9.905x11.932
10x13,10,13,9.9,12.944,2588.51,3462.0,1,10x13,1112.5,2747.91811764706,connective tissue,9.9x12.944
10x14,10,14,9.924,13.954,2595.49,3754.76,1,10x14,1115.5,2622.084,invasive cancer,9.924x13.954
10x15,10,15,9.92,14.955,2594.33,4044.9,1,10x15,1115.0,2497.37117647059,invasive cancer,9.92x14.955
10x16,10,16,9.92,15.969,2594.33,4338.81,1,10x16,1115.0,2371.03870588235,invasive cancer,9.92x15.969
10x17,10,17,9.936,16.96,2598.98,4626.05,1,10x17,1117.0,2247.57176470588,invasive cancer,9.936x16.96
10x18,10,18,9.916,17.961,2593.16,4916.2,1,10x18,1114.5,2122.85894117647,invasive cancer,9.916x17.961
10x19,10,19,9.912,18.994,2592.0,5215.61,1,10x19,1114.0,1994.15929411765,invasive cancer,9.912x18.994
10x2,10,2,9.918,1.98,2593.74,284.06,1,10x2,1114.75,4113.90352941176,invasive cancer,9.918x1.98
10x20,10,20,9.925,19.99,2595.78,5504.31,1,10x20,1115.625,1870.06941176471,invasive cancer,9.925x19.99
10x21,10,21,9.917,20.987,2593.45,5793.29,1,10x21,1114.625,1745.85494117647,invasive cancer,9.917x20.987
10x22,10,22,9.935,21.997,2598.69,6086.04,1,10x22,1116.875,1620.02082352941,invasive cancer,9.935x21.997
10x23,10,23,9.938,23.003,2599.56,6377.63,1,10x23,1117.25,1494.68505882353,immune infiltrate,9.938x23.003
10x24,10,24,9.927,24.008,2596.36,6668.94,1,10x24,1115.875,1369.47388235294,immune infiltrate,9.927x24.008
