,x_spot,y_spot,new_x_spot,new_y_spot,pixel_x_spot,pixel_y_spot,selected,sp_loc,pixel_x_meta,pixel_y_meta,label,sp_loc_decimals_meta
10x10,10,10,9.883,9.928,2588.84,2589.91,1,10x10,1110.375,3119.25176470588,adipose tissue,9.883x9.928
10x11,10,11,9.899,10.948,2593.5,2885.8,1,10x11,1112.375,2992.35176470588,immune infiltrate,9.899x10.948
10x12,10,12,9.88,11.946,2587.97,3175.31,1,10x12,1110.0,2868.18882352941,immune infiltrate,9.88x11.946
10x13,10,13,9.902,12.917,2594.38,3456.98,1,10x13,1112.75,2747.385,adipose tissue,9.902x12.917
10x14,10,14,9.892,13.925,2591.46,3749.39,1,10x14,1111.5,2621.97794117647,adipose tissue,9.892x13.925
10x15,10,15,9.894,14.941,2592.05,4044.12,1,10x15,1111.75,2495.57558823529,adipose tissue,9.894x14.941
10x16,10,16,9.884,15.952,2589.13,4337.4,1,10x16,1110.5,2369.79529411765,adipose tissue,9.884x15.952
10x17,10,17,9.894,16.941,2592.05,4624.3,1,10x17,1111.75,2246.75205882353,immune infiltrate,9.894x16.941
10x18,10,18,9.896,17.945,2592.63,4915.55,1,10x18,1112.0,2121.84264705882,immune infiltrate,9.896x17.945
10x19,10,19,9.91,19.008,2596.71,5223.91,1,10x19,1113.75,1989.59294117647,breast glands,9.91x19.008
10x20,10,20,9.876,19.969,2586.8,5502.68,1,10x20,1109.5,1870.03323529412,connective tissue,9.876x19.969
10x21,10,21,9.884,20.95,2589.13,5787.26,1,10x21,1110.5,1747.98529411765,connective tissue,9.884x20.95
10x22,10,22,9.901,21.982,2594.09,6086.63,1,10x22,1112.625,1619.59235294118,adipose tissue,9.901x21.982
10x23,10,23,9.888,22.975,2590.3,6374.69,1,10x23,1111.0,1496.05147058824,adipose tissue,9.888x22.975
10x24,10,24,9.913,23.999,2597.58,6671.74,1,10x24,1114.125,1368.65382352941,connective tissue,9.913x23.999
10x25,10,25,9.888,25.005,2590.3,6963.57,1,10x25,1111.0,1243.49558823529,connective tissue,9.888x25.005
10x7,10,7,9.875,6.982,2586.51,1735.31,1,10x7,1109.375,3485.76882352941,breast glands,9.875x6.982
10x8,10,8,9.889,7.962,2590.59,2019.59,1,10x8,1111.125,3363.84529411765,breast glands,9.889x7.962
10x9,10,9,9.877,8.996,2587.09,2319.55,1,10x9,1109.625,3235.20352941176,undetermined,9.877x8.996
11x10,11,10,10.912,9.935,2888.73,2591.94,1,11x10,1239.0,3118.38088235294,adipose tissue,10.912x9.935
11x12,11,12,10.879,11.963,2879.11,3180.24,1,11x12,1234.875,2866.07382352941,undetermined,10.879x11.963
11x13,11,13,10.926,12.927,2892.81,3459.88,1,11x13,1240.75,2746.14088235294,adipose tissue,10.926x12.927
11x14,11,14,10.911,13.94,2888.44,3753.74,1,11x14,1238.875,2620.11176470588,undetermined,10.911x13.94
11x15,11,15,10.898,14.953,2884.65,4047.6,1,11x15,1237.25,2494.08264705882,undetermined,10.898x14.953
11x16,11,16,10.901,15.953,2885.52,4337.69,1,11x16,1237.625,2369.67088235294,undetermined,10.901x15.953
11x17,11,17,10.91,16.939,2888.15,4623.72,1,11x17,1238.75,2247.00088235294,immune infiltrate,10.91x16.939
11x18,11,18,10.905,17.952,2886.69,4917.58,1,11x18,1238.125,2120.97176470588,immune infiltrate,10.905x17.952
11x19,11,19,10.9,18.97,2885.23,5212.89,1,11x19,1237.5,1994.32058823529,breast glands,10.9x18.97
