,x_spot,y_spot,new_x_spot,new_y_spot,pixel_x_spot,pixel_y_spot,selected,sp_loc,pixel_x_meta,pixel_y_meta,label,sp_loc_decimals_meta
10x10,10,10,9.88,9.969,2581.03,2603.38,1,10x10,1110.0,3124.45776470588,connective tissue,9.88x9.969
10x11,10,11,9.89,10.978,2583.93,2896.26,1,10x11,1111.25,2998.51082352941,connective tissue,9.89x10.978
10x12,10,12,9.881,11.939,2581.32,3175.21,1,10x12,1110.125,2878.55541176471,connective tissue,9.881x11.939
10x13,10,13,9.89,12.937,2583.93,3464.89,1,10x13,1111.25,2753.98152941176,connective tissue,9.89x12.937
10x14,10,14,9.88,13.954,2581.03,3760.09,1,10x14,1110.0,2627.036,connective tissue,9.88x13.954
10x15,10,15,9.903,14.976,2587.71,4056.74,1,10x15,1112.875,2499.46635294118,undetermined,9.903x14.976
10x16,10,16,9.902,15.958,2587.42,4341.78,1,10x16,1112.75,2376.88964705882,cancer in situ,9.902x15.958
10x17,10,17,9.891,16.964,2584.22,4633.79,1,10x17,1111.375,2251.31717647059,cancer in situ,9.891x16.964
10x18,10,18,9.892,17.974,2584.52,4926.95,1,10x18,1111.5,2125.24541176471,cancer in situ,9.892x17.974
10x19,10,19,9.885,18.967,2582.48,5215.19,1,10x19,1110.625,2001.29564705882,cancer in situ,9.885x18.967
10x20,10,20,9.896,19.975,2585.68,5507.77,1,10x20,1112.0,1875.47352941176,cancer in situ,9.896x19.975
10x21,10,21,9.902,20.962,2587.42,5794.26,1,10x21,1112.75,1752.27270588235,undetermined,9.902x20.962
10x22,10,22,9.902,21.996,2587.42,6094.4,1,10x22,1112.75,1623.20517647059,connective tissue,9.902x21.996
10x23,10,23,9.914,22.996,2590.91,6384.66,1,10x23,1114.25,1498.38164705882,connective tissue,9.914x22.996
10x24,10,24,9.91,24.011,2589.75,6679.28,1,10x24,1113.75,1371.68576470588,cancer in situ,9.91x24.011
10x25,10,25,9.908,24.987,2589.17,6962.58,1,10x25,1113.5,1249.858,cancer in situ,9.908x24.987
10x26,10,26,9.894,26.003,2585.1,7257.49,1,10x26,1111.75,1123.03729411765,cancer in situ,9.894x26.003
