sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
2x1,2,1,1690,1.48,544,3628,9205.11111111111,158844.666666667,59,40,1306,3194,2669,33833,292,790,0,49,3442,17833,2x1,Lung5,fibroblast,stroma
2x2,2,2,3333,1.45,1232,3621,9893.11111111111,158837.666666667,80,55,2570,11320,324,750,348,1134,0,14,1343,16488,2x2,Lung5,pDC,stroma
2x3,2,3,3519,1.23,1723,3618,10384.1111111111,158834.666666667,74,60,3497,18939,342,788,337,1111,0,109,5179,27935,2x3,Lung5,mDC,stroma
2x4,2,4,6479,1.07,4493,3601,13154.1111111111,158817.666666667,102,95,3733,8382,2345,20353,257,867,10,590,2511,28369,2x4,Lung5,endothelial,tumor interior
2x5,2,5,4232,0.86,367,3606,9028.11111111111,158822.666666667,69,80,1122,3825,9316,64142,268,796,0,20,8849,26656,2x5,Lung5,mast,stroma
2x6,2,6,3254,1.37,423,3619,9084.11111111111,158835.666666667,74,54,617,2213,2448,30164,187,631,0,52,11916,37972,2x6,Lung5,fibroblast,stroma
2x7,2,7,3212,0.85,875,3612,9536.11111111111,158828.666666667,58,68,1084,2697,358,767,226,726,4,780,9153,23527,2x7,Lung5,mDC,stroma
2x8,2,8,5683,0.84,2133,3592,10794.1111111111,158808.666666667,91,108,4106,11753,484,1260,179,622,0,79,11,1508,2x8,Lung5,fibroblast,stroma
2x9,2,9,1785,1.09,2688,3623,11349.1111111111,158839.666666667,50,46,807,1843,692,1757,197,580,0,177,7700,33171,2x9,Lung5,fibroblast,tumor-stroma boundary
2x10,2,10,5079,1.01,2931,3600,11592.1111111111,158816.666666667,93,92,3287,5566,46379,65260,474,972,2,364,9667,32963,2x10,Lung5,tumor 5,tumor-stroma boundary
2x11,2,11,5557,1.26,3995,3605,12656.1111111111,158821.666666667,103,82,1572,11696,23134,65339,230,706,0,56,3645,26516,2x11,Lung5,tumor 5,tumor interior
2x12,2,12,2407,0.59,4056,3604,12717.1111111111,158820.666666667,50,85,1569,4484,18660,48149,282,591,0,71,6640,21572,2x12,Lung5,tumor 5,tumor interior
2x13,2,13,5370,0.72,4079,3588,12740.1111111111,158804.666666667,84,117,2102,7753,23503,65305,261,797,0,231,5631,25730,2x13,Lung5,tumor 5,tumor interior
2x14,2,14,2505,1.11,4141,3614,12802.1111111111,158830.666666667,71,64,1743,5701,18921,51754,298,689,0,110,8430,18577,2x14,Lung5,tumor 5,tumor interior
2x15,2,15,3145,1.0,4398,3607,13059.1111111111,158823.666666667,74,74,1954,3518,15884,40072,322,720,0,89,3371,13315,2x15,Lung5,tumor 5,tumor interior
2x16,2,16,1191,0.82,4596,3624,13257.1111111111,158840.666666667,37,45,2781,6590,14503,37996,293,703,0,70,1756,16846,2x16,Lung5,tumor 5,tumor interior
2x17,2,17,2442,0.83,4626,3614,13287.1111111111,158830.666666667,53,64,1558,5085,12032,45466,294,735,0,74,11739,26374,2x17,Lung5,tumor 5,tumor interior
2x18,2,18,2676,0.84,4731,3614,13392.1111111111,158830.666666667,54,64,1421,3535,13263,46983,201,575,0,124,9509,19924,2x18,Lung5,tumor 5,tumor interior
2x19,2,19,1895,1.04,4871,3622,13532.1111111111,158838.666666667,51,49,1685,4720,15195,53649,195,6822,0,34,7887,18844,2x19,Lung5,tumor 5,tumor interior
2x20,2,20,1872,0.9,4906,3616,13567.1111111111,158832.666666667,54,60,1740,3967,14883,35309,281,641,0,73,6381,18264,2x20,Lung5,tumor 5,tumor interior
2x21,2,21,1925,1.29,5028,3625,13689.1111111111,158841.666666667,54,42,1404,2761,13027,35742,231,663,0,7,3388,14833,2x21,Lung5,tumor 5,tumor interior
2x22,2,22,4996,0.8,3355,3598,12016.1111111111,158814.666666667,74,92,1355,4185,14524,61065,245,682,0,31,8947,22032,2x22,Lung5,tumor 5,tumor interior
2x23,2,23,1585,1.07,5074,3622,13735.1111111111,158838.666666667,48,45,1361,3327,13413,30322,224,469,0,26,6160,15120,2x23,Lung5,tumor 5,tumor interior
2x24,2,24,8493,0.54,3042,3568,11703.1111111111,158784.666666667,80,148,2211,4669,43357,65312,406,1000,2,455,5796,28820,2x24,Lung5,tumor 5,tumor-stroma boundary
2x25,2,25,4049,0.88,4972,3594,13633.1111111111,158810.666666667,81,92,2166,8716,13359,40232,273,590,0,88,9403,22304,2x25,Lung5,tumor 5,tumor interior
2x26,2,26,3880,1.11,566,3598,9227.11111111111,158814.666666667,81,73,1470,3282,7262,53454,346,824,5,442,9584,30109,2x26,Lung5,epithelial,stroma
2x27,2,27,4803,1.17,728,3599,9389.11111111111,158815.666666667,88,75,700,3131,12854,44944,261,619,0,180,8876,22990,2x27,Lung5,epithelial,stroma
2x28,2,28,4530,0.98,1457,3594,10118.1111111111,158810.666666667,78,80,2252,12992,429,1177,392,1445,0,131,10555,40878,2x28,Lung5,T CD4 naive,stroma
2x29,2,29,5748,0.86,3660,3577,12321.1111111111,158793.666666667,88,102,2511,13975,37635,65297,393,821,0,119,8692,34744,2x29,Lung5,tumor 5,tumor interior
2x30,2,30,3009,0.92,4829,3593,13490.1111111111,158809.666666667,61,66,2109,4405,17086,46795,337,645,0,118,10701,22271,2x30,Lung5,tumor 5,tumor interior
2x31,2,31,2304,1.25,4770,3597,13431.1111111111,158813.666666667,64,51,1685,3287,15214,34082,338,675,0,98,13499,23560,2x31,Lung5,tumor 5,tumor interior
2x32,2,32,4247,1.24,1795,3587,10456.1111111111,158803.666666667,82,66,3196,11296,388,1799,523,2257,0,52,8608,57307,2x32,Lung5,macrophage,stroma
2x33,2,33,1654,1.37,1370,3597,10031.1111111111,158813.666666667,56,41,3854,12378,391,3397,274,717,0,8,15,1344,2x33,Lung5,monocyte,plasmablast-enriched stroma
2x34,2,34,3159,0.94,235,3579,8896.11111111111,158795.666666667,65,69,1121,2368,607,923,339,657,53,854,9091,29726,2x34,Lung5,endothelial,stroma
2x35,2,35,3685,1.19,452,3580,9113.11111111111,158796.666666667,76,64,1022,3993,12415,65328,248,540,0,47,7617,21659,2x35,Lung5,fibroblast,stroma
2x36,2,36,2748,1.08,5021,3576,13682.1111111111,158792.666666667,64,59,3202,6572,21102,49791,315,1496,0,56,2737,16762,2x36,Lung5,tumor 5,tumor interior
2x37,2,37,2372,1.54,1249,3577,9910.11111111111,158793.666666667,77,50,3148,8367,407,907,425,1002,0,54,77,5840,2x37,Lung5,macrophage,stroma
2x38,2,38,5876,0.99,140,3554,8801.11111111111,158770.666666667,104,105,1309,2921,20390,63995,209,482,0,15,1316,9826,2x38,Lung5,epithelial,stroma
2x39,2,39,2214,0.88,1676,3574,10337.1111111111,158790.666666667,52,59,2574,5454,415,874,480,1147,0,30,7282,32299,2x39,Lung5,pDC,stroma
2x40,2,40,3064,0.95,1883,3569,10544.1111111111,158785.666666667,63,66,3038,6958,458,1037,373,1094,0,2,5227,34456,2x40,Lung5,endothelial,stroma
2x41,2,41,2840,0.76,4293,3560,12954.1111111111,158776.666666667,56,74,1547,4179,17731,41497,347,644,0,217,10297,21563,2x41,Lung5,tumor 5,tumor interior
2x42,2,42,3370,0.9,3693,3558,12354.1111111111,158774.666666667,65,72,2314,10303,33627,65287,393,805,0,183,4366,33659,2x42,Lung5,tumor 5,tumor interior
2x43,2,43,1721,0.82,1209,3567,9870.11111111111,158783.666666667,46,56,1189,4631,373,1246,281,641,16,515,5134,18666,2x43,Lung5,plasmablast,stroma
2x44,2,44,3515,1.55,1338,3568,9999.11111111111,158784.666666667,87,56,2167,5925,400,981,374,919,0,38,8964,24468,2x44,Lung5,pDC,stroma
2x45,2,45,2879,0.77,2044,3559,10705.1111111111,158775.666666667,57,74,3437,19121,436,2007,368,1480,0,197,6897,30995,2x45,Lung5,T CD4 naive,stroma
2x46,2,46,2744,0.81,4920,3557,13581.1111111111,158773.666666667,57,70,2681,5468,17159,39246,320,573,0,50,6494,20964,2x46,Lung5,tumor 5,tumor interior
2x47,2,47,2680,0.79,1999,3552,10660.1111111111,158768.666666667,60,76,3824,9458,436,706,373,934,0,170,6484,39837,2x47,Lung5,T CD4 naive,stroma
2x48,2,48,8187,0.74,4198,3523,12859.1111111111,158739.666666667,99,134,2175,6695,28814,65289,300,737,9,447,8710,31783,2x48,Lung5,tumor 5,tumor interior
2x49,2,49,1877,0.67,4877,3559,13538.1111111111,158775.666666667,43,64,2041,4483,17073,42953,317,572,0,117,10715,20759,2x49,Lung5,tumor 5,tumor interior
2x50,2,50,5608,1.26,1026,3547,9687.11111111111,158763.666666667,103,82,2334,5888,386,730,482,2203,1,323,6458,31397,2x50,Lung5,pDC,stroma
2x51,2,51,4077,1.19,1935,3556,10596.1111111111,158772.666666667,81,68,3558,24983,462,962,517,1552,0,100,9764,46210,2x51,Lung5,macrophage,stroma
2x52,2,52,4577,1.05,511,3549,9172.11111111111,158765.666666667,82,78,812,1682,4845,21721,266,554,0,145,8621,26435,2x52,Lung5,fibroblast,stroma
2x53,2,53,2012,1.02,1642,3562,10303.1111111111,158778.666666667,52,51,4330,14784,425,680,463,1187,0,93,5886,24887,2x53,Lung5,pDC,stroma
2x54,2,54,3987,1.14,635,3552,9296.11111111111,158768.666666667,79,69,1006,3071,10514,52957,311,950,83,1965,6353,19139,2x54,Lung5,epithelial,stroma
2x55,2,55,3561,1.04,1580,3549,10241.1111111111,158765.666666667,72,69,4246,15701,402,1227,309,1485,0,62,10674,42069,2x55,Lung5,T CD8 naive,stroma
2x56,2,56,2813,0.82,4833,3547,13494.1111111111,158763.666666667,60,73,1832,4114,14558,39672,338,601,0,80,13199,24919,2x56,Lung5,tumor 5,tumor interior
2x57,2,57,6473,0.87,3151,3519,11812.1111111111,158735.666666667,98,113,2926,19920,35287,65320,304,771,0,164,7071,27213,2x57,Lung5,tumor 5,tumor interior
2x58,2,58,2625,1.61,713,3551,9374.11111111111,158767.666666667,74,46,543,1613,8657,29097,238,556,0,29,8301,15918,2x58,Lung5,epithelial,stroma
2x59,2,59,1319,0.73,2069,3548,10730.1111111111,158764.666666667,38,52,4420,12633,426,715,202,512,0,5,0,0,2x59,Lung5,fibroblast,stroma
2x60,2,60,2759,1.25,1241,3538,9902.11111111111,158754.666666667,70,56,1918,10235,350,700,403,1061,0,145,11772,49364,2x60,Lung5,plasmablast,stroma
2x61,2,61,1825,1.11,1430,3549,10091.1111111111,158765.666666667,52,47,1628,9326,334,741,213,528,0,151,3308,17322,2x61,Lung5,T CD8 naive,plasmablast-enriched stroma
2x62,2,62,2953,0.91,4777,3531,13438.1111111111,158747.666666667,59,65,2386,5089,18864,46470,354,665,1,259,7458,21210,2x62,Lung5,tumor 5,tumor interior
2x63,2,63,3015,0.7,3547,3526,12208.1111111111,158742.666666667,56,80,2059,5456,21349,58779,325,709,0,205,13360,26622,2x63,Lung5,tumor 5,tumor interior
2x64,2,64,7162,1.05,3321,3514,11982.1111111111,158730.666666667,109,104,3303,7495,28795,65223,436,956,0,178,8181,33109,2x64,Lung5,tumor 5,tumor interior
2x65,2,65,4992,1.09,4346,3517,13007.1111111111,158733.666666667,89,82,1740,8059,19403,55310,270,710,0,116,8330,24240,2x65,Lung5,tumor 5,tumor interior
2x66,2,66,5716,0.74,4264,3503,12925.1111111111,158719.666666667,79,107,3110,14988,27600,65004,356,817,1,166,5244,21262,2x66,Lung5,tumor 5,tumor interior
2x67,2,67,3042,1.15,1295,3525,9956.11111111111,158741.666666667,71,62,3494,9455,424,764,392,929,6,416,2627,31017,2x67,Lung5,plasmablast,stroma
2x68,2,68,3135,1.05,1350,3514,10011.1111111111,158730.666666667,67,64,1973,3582,433,726,447,1067,10,434,14307,42844,2x68,Lung5,plasmablast,stroma
2x69,2,69,3943,1.1,2318,3511,10979.1111111111,158727.666666667,85,77,2321,9851,527,1890,545,1712,252,1769,16625,50754,2x69,Lung5,NK,stroma
2x70,2,70,2520,1.21,1626,3513,10287.1111111111,158729.666666667,68,56,1433,5526,355,592,265,875,0,21,10056,30820,2x70,Lung5,fibroblast,stroma
2x71,2,71,4408,0.99,1076,3506,9737.11111111111,158722.666666667,79,80,1330,4488,364,760,307,8738,11,869,13043,44428,2x71,Lung5,plasmablast,stroma
2x72,2,72,4831,1.05,4872,3496,13533.1111111111,158712.666666667,84,80,2820,6825,19934,53459,338,661,1,188,5345,19578,2x72,Lung5,tumor 5,tumor interior
2x73,2,73,5405,1.21,646,3490,9307.11111111111,158706.666666667,109,90,1960,5192,3593,29885,351,953,63,1309,9114,37847,2x73,Lung5,fibroblast,stroma
2x74,2,74,4965,1.43,729,3503,9390.11111111111,158719.666666667,106,74,2658,6521,16910,47850,291,803,0,140,5347,21957,2x74,Lung5,epithelial,stroma
2x75,2,75,2385,1.3,2414,3507,11075.1111111111,158723.666666667,65,50,1577,20010,567,1184,275,796,0,212,10316,43236,2x75,Lung5,endothelial,stroma
2x76,2,76,2572,0.65,4675,3498,13336.1111111111,158714.666666667,52,80,3209,7017,3944,15170,337,727,1,95,11197,35078,2x76,Lung5,fibroblast,tumor interior
2x77,2,77,3185,1.03,1686,3505,10347.1111111111,158721.666666667,64,62,1362,4519,347,612,399,1497,0,8,11428,43264,2x77,Lung5,mast,stroma
2x78,2,78,3611,0.76,2683,3490,11344.1111111111,158706.666666667,61,80,4443,12487,4995,65172,339,1078,0,51,3624,26606,2x78,Lung5,plasmablast,tumor-stroma boundary
2x79,2,79,5210,1.25,3633,3485,12294.1111111111,158701.666666667,114,91,1986,3939,23261,54613,351,787,3,289,9479,29338,2x79,Lung5,tumor 5,tumor interior
2x80,2,80,5374,1.23,302,3483,8963.11111111111,158699.666666667,95,77,1941,5679,4730,30575,329,707,0,53,3342,16151,2x80,Lung5,endothelial,stroma
2x81,2,81,3100,0.97,1767,3492,10428.1111111111,158708.666666667,66,68,2674,8598,415,742,406,1463,0,246,5417,31691,2x81,Lung5,pDC,stroma
2x82,2,82,6150,0.4,2122,3448,10783.1111111111,158664.666666667,56,140,4991,14830,502,1456,211,603,0,0,0,0,2x82,Lung5,fibroblast,stroma
